identifier,municipality,location,feature,owner,year_built_replaced,last_inspection,sd_fo_status,rating
eca,Ovid (Town),2.7 MI NW OF INTERLAKEN,HALL ROAD SHELDRAKE CREEK,40 - Town,1958,07/25/2017,SD,4.80
eca,Ovid (Town),2.5 MI N OF INTERLAKEN,POTTER ROAD SHELDRAKE CREEK,40 - Town,1920,11/14/2016,SD,3.69
eca,Ovid (Town),3.4 MI SW OF OVID,UPPER LAKE ROAD SIXTEEN FALLS CREEK,30 - County,1986,04/05/2017,N,4.48
eca,Ovid (Town),5.6 MI EAST OF OVID,WYERS POINT ROAD GROVES CREEK,40 - Town,1936,09/15/2016,SD,5.13
eca,Ovid (Town),6.7 MI E OF OVID,WYERS POINT ROAD NIVEK CREEK,40 - Town,1966,08/30/2016,SD,3.53
eca,Romulus (Town),3.3 MI NW OF OVID,EAST LAKE ROAD INDIAN CREEK,30 - County,2013,10/08/2015,N,7.00
eca,Seneca Falls (Town),.8 MI SE JCT SH 5 & SH 89,89  89 35021304 CAYUGA-SENECA CNL,NYSDOT,1964,08/29/2016,N,5.13
eca,Seneca Falls (Town),JCT RTE 414+ SENECA CANAL,414 414 35061265 CAYUGA-SENECA BAR,NYSDOT,1984,09/01/2016,N,5.06
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
eca,Seneca Falls (Town),.3 MI W JCT RTE 414+CANAL,BRIDGE STREET SENECA RIVER,41 - Village,1915,09/13/2017,N,3.69
eca,Seneca Falls (Town),S JCT S.H.414 & US20/SH5,RIVER ROAD CONN. CAYUGA-SENECA CNL,NYSDOT,1993,08/03/2017,N,6.45
eca,Seneca Falls (Town),1.7 mi S Jct Exit 41 I90,ROUTE 414 BLACK BROOK,NYSDOT,2012,11/16/2016,N,6.92
eca,Seneca Falls (Town),.6 MI W JCT RTE 414+CANAL,Veterans Br St SENECA RIVER,41 - Village,1959,10/20/2017,FO,5.81
eca,Tyre (Town),JCT US 20 & CAY & SEN CNL,5  5  35061143 CAY & SEN CANAL,NYSDOT,1932,09/15/2016,SD,3.54
eca,Tyre (Town),.8 MI SE JCT SH31&WYNE CL,31  31 35071008 TRIB SENECA RIVER,NYSDOT,1997,10/13/2015,N,5.93
eca,Tyre (Town),JCT SH 31 & CAY & SEN CNL,31  31 35071016 CAY & SEN CANAL,NYSDOT,1949,09/22/2016,N,3.61
eca,Tyre (Town),.8 MI NE JCT SH 89 & I90,89  89 35021348 ERIE CANAL,NYSDOT,1969,08/26/2016,N,6.31
eca,Tyre (Town),Black Brook,318  318 35011020 Black Brook,NYSDOT,1962,10/05/2015,N,6.05
eca,Tyre (Town),JCT SH 414 & I90,41441435041334 90IX,2L - NYS Thruway Authority,2000,11/14/2016,FO,6.80
eca,Tyre (Town),JCT OF RTS 89 + I-90,89 89 35021339 90IX,2L - NYS Thruway Authority,1953,10/29/2015,SD,4.36
eca,Tyre (Town),1.5 MI E OF EXIT 41,90IX BLACK BROOK,2L - NYS Thruway Authority,1953,07/08/2015,N,4.91
eca,Tyre (Town),4.0 MI NW OF FOSTERVILLE,90IX OLD SENECA RIVER,2L - NYS Thruway Authority,1954,09/02/2015,SD,3.98
eca,Tyre (Town),JCT I90EB/CAYUGA CL & CNL,90IX (EB) SENECA RIVER,2L - NYS Thruway Authority,1953,05/03/2017,N,5.03
eca,Tyre (Town),JCT I-90 WB+CAYUGA CL + C,90IX WB SENECA RIVER,2L - NYS Thruway Authority,1953,04/26/2016,N,4.90
eca,Tyre (Town),2.3 MI NW JCT SH 89 & CNL,ARMITAGE ROAD ERIE CANAL/CLYDE RIVER,NYSDOT,1914,09/11/2017,SD,2.95
eca,Tyre (Town),1.6 MI E OF EXIT 41 TOLL,BLACK BROOK RD 90IX,2L - NYS Thruway Authority,1999,09/18/2015,FO,6.26
eca,Tyre (Town),4.6 MI N OF SENECA FALLS,CR 101 BLACK BROOK,30 - County,1950,09/14/2016,FO,5.57
eca,Tyre (Town),I90 EXIT 41 RAMP BRIDGE,EXIT 41 RAMP 90IX,2L - NYS Thruway Authority,1953,08/19/2015,FO,4.72
eca,Tyre (Town),4 MI NOR SENECA FALLS,GRAVEL RD CR 101 90IX,2L - NYS Thruway Authority,1998,08/30/2016,N,6.20
eca,Tyre (Town),6.5 MI N OF SENECA FALLS,MAYS POINT RD CLYDE RIVER,30 - County,2003,09/14/2017,N,5.92
eca,Tyre (Town),1.5MI E OF EXIT41,MID. BLACK BRK RD 90IX,2L - NYS Thruway Authority,1953,10/04/2016,FO,5.28
eca,Varick (Town),3.2 MI SW JCT RTS 96A&336,COUNTY ROAD 125 REEDER CREEK,30 - County,1987,06/14/2016,N,6.53
eca,Waterloo (Village),JCT SH 96 & BARGE CANAL,96  96 35031296 CAYUGA-SENECA CNL,NYSDOT,1962,06/15/2016,N,6.38
eca,Waterloo (Village),.1 MI S JCT SH 96 & SH 5,96  96 35031296 RACEWAY,NYSDOT,1915,07/12/2016,N,5.59
eca,Waterloo (Village),0.15 MI S JCT RTS 96 + 5,96  96 35031298 SENECA RIVER,NYSDOT,2005,10/14/2015,N,6.32
eca,Waterloo (Village),AT WATERLOO-SH96 & B CNL,LOCUST STREET CAY & SEN CANAL,NYSDOT,1914,11/29/2016,SD,2.52
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
gara,Barker (Village),6.5 MI N JCT SH148 &SH104,148 148 54011068 GOLDEN HILL CREEK,30 - County,1958,11/21/2016,N,6.33
gara,Cambria (Town),.1 MI W JCT SH 93 & SH425,93  93 54011120 EB TWELVEMILE CRK,NYSDOT,2003,11/12/2015,N,6.45
gara,Cambria (Town),0.8 MI W JCT RTS 104 +425,104 104 54012134 TWELVEMILE CREEK,NYSDOT,2006,08/10/2016,N,6.85
gara,Cambria (Town),2.4 MI S JCT SH429 &SH104,UPPER MOUNTAIN RD 429 429 54012072,NYSDOT,1970,08/08/2017,N,6.61
gara,Hartland (Town),1.4 MI E JCT RTS 104 +148,104 104 54012314 JOHNSON CREEK,NYSDOT,2002,12/05/2016,N,6.67
gara,Hartland (Town),2.6 MI N JCT RTS 269 &104,269 269 54011026 JOHNSON CREEK,NYSDOT,1931,10/26/2016,N,6.68
gara,Hartland (Town),3.0 MI N JCT RTS 269 &104,269 269 54011028 JOHNSON CK BR,NYSDOT,1931,11/02/2016,N,6.64
gara,Hartland (Town),1.7 MI S JCT SH271 &SH104,271 271 54011016 BRANCH JEDDO CRK,30 - County,1961,08/24/2016,N,6.00
gara,Hartland (Town),1.9 MI N OF JOHNSON CREEK,BRADLEY ROAD MUD CREEK,40 - Town,1985,08/24/2016,N,6.00
gara,Hartland (Town),3.4 MI NW OF JOHNSON CRK,CARMEN ROAD JOHNSON CREEK,30 - County,1968,10/14/2016,SD,4.28
gara,Hartland (Town),2.7 MI E OF WRIGHTS CRNRS,DALE ROAD EB EIGHTEEN MI CK,30 - County,2004,06/21/2016,N,7.00
gara,Hartland (Town),2.7 MILES NW OF JEDDO,DRUM ROAD JOHNSON CREEK,30 - County,2010,10/11/2016,N,6.89
gara,Hartland (Town),.2 MI SOUTH OF HARTLAND,HARTLAND ROAD EIGHTEEN MILE CRK,30 - County,1958,08/30/2016,N,6.50
gara,Hartland (Town),1.1 MI N OF JOHNSON CREEK,JOHNSON CREEK RD JOHNSON CREEK,30 - County,1986,09/12/2016,N,6.19
gara,Hartland (Town),2.2 MI N OF JOHNSON CREEK,JOHNSON CRK ROAD MUD CREEK,40 - Town,1983,11/21/2016,N,6.22
gara,Hartland (Town),1.1 MI WEST OF HARTLAND,ORANGEPORT ROAD E B 18 MILE CREEK,30 - County,1988,09/12/2016,N,6.45
gara,Hartland (Town),.8 MI NORTH OF MIDDLEPORT,PEARSON ROAD JEDDO CREEK,30 - County,2009,10/30/2015,N,6.48
gara,Hartland (Town),1.5 MI W OF JOHNSON CREEK,QUAKER ROAD EIGHTEEN MILE CRK,30 - County,1950,10/04/2016,N,6.04
gara,Hartland (Town),1.5 MI NORTH OF GASPORT,QUAKER ROAD EIGHTEENMILE CRK,30 - County,1982,09/07/2016,N,6.29
gara,Hartland (Town),2.8 MILES NW OF JEDDO,SEAMAN ROAD JOHNSON CREEK,30 - County,2010,10/11/2016,N,7.00
gara,Hartland (Town),3 MI EAST OF WRIGHTS CORS,WHEELER ROAD EIGHTEEN MILE CRK,30 - County,2007,11/10/2015,N,6.59
gara,Lewiston (Town),0.5 MI N JCT RTS 104 & 61,104  104 54012010 RBT MOSES PWRPLNT,2P - NYS Power Authority,1960,11/07/2016,N,4.44
gara,Lewiston (Town),0.1 MI S JCT RTS 104 & 61,104 104 54012001 INTERPLANT ROAD,2P - NYS Power Authority,1960,07/12/2017,FO,6.47
gara,Lewiston (Town),.9 MI N JCT SH61 & SH 104,104 104 54012013 EX-N.Y.CENTRAL RR,NYSDOT,1962,07/27/2017,N,6.44
gara,Lewiston (Town),JCT RTS 104 + 18F,104 104 54012033 RT104 WEST BOUND,NYSDOT,1965,09/15/2016,N,6.99
gara,Lewiston (Town),JCT RTES 104 + 18,104 104 54012038 18  18 54011010,NYSDOT,1992,08/22/2016,N,6.71
gara,Lewiston (Town),3.8 MI N JCT RTS 18F +104,18F X STATE PARK ROAD,2J - Niagara Frontier State,1968,10/20/2016,FO,6.33
gara,Lewiston (Town),3.3 MI N JCT RT 190I & 31,190I 190I54011056 POWER RESERVOIR,NYSDOT,1963,12/21/2015,N,6.35
gara,Lewiston (Town),1.1 MI N JCT RTS 104 & 61,190I 190I54015P01 104  104 54012014,NYSDOT,1962,11/03/2015,SD,5.39
gara,Lewiston (Town),2.8 MI N JCT RT 190I & 31,190I190I54011051 INTERPLANT ROAD,NYSDOT,1963,09/28/2016,N,5.60
gara,Lewiston (Town),2.8 MI N JCT RT 190I & 31,190I190I54011051 INTERPLANT ROAD,NYSDOT,1963,09/28/2016,N,5.32
gara,Lewiston (Town),RAMP P AT JCT RT 104&190I,190I190I54011061 190I190I54011065,NYSDOT,1962,10/19/2015,FO,4.76
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
gara,Lewiston (Town),JCT RT 104 + I-190,190IX 104 104 54012015,2I - Niagara Falls Bridge,1962,11/18/2016,FO,6.26
gara,Lewiston (Town),1.9 MI N JCT RTS 265 + 31,265  265 54024046 POWER RESERVOIR,NYSDOT,1963,12/21/2015,N,6.50
gara,Lewiston (Town),1.0 MI S 957A ACCESS 190I,957A 957A54014003 INTERPLANT ROAD,2P - NYS Power Authority,1963,11/23/2016,FO,6.41
gara,Lewiston (Town),0.5 MI S 957A ACCESS 190I,957A 957A54014009 RBT MOSES PWRPLNT,2P - NYS Power Authority,1963,11/07/2016,FO,4.36
gara,Lewiston (Town),0.5 MI S 957A ACCESS 190I,957A 957A54014009 RBT MOSES PWRPLNT,2P - NYS Power Authority,1963,12/02/2016,FO,4.46
gara,Lewiston (Town),.3 MI N JCT SH104 & SH18F,957A 957A54014036 MOHAWK STREET,2J - Niagara Frontier State,1965,06/21/2017,N,5.58
gara,Lewiston (Town),.1 MI N JCT SH 61 & SH104,957A957A54014006 ROCK CUT,2P - NYS Power Authority,1963,11/02/2016,FO,6.04
gara,Lewiston (Town),.8 MI W JCT SH104 & SH265,COUNTRY CLB TRAIL FISH CREEK,40 - Town,1989,12/07/2016,N,5.00
gara,Lewiston (Town),AT I190 & INT 104,LEWISTONQUEENSTON NIAGARA RIVER,2I - Niagara Falls Bridge,1960,05/12/2017,FO,6.09
gara,Lewiston (Town),2.5 MI N JCT 104 & 18F,PLETCHER RD 957A957A54014058,2J - Niagara Frontier State,1965,06/03/2016,FO,6.62
gara,Lewiston (Town),2.5 MI N OF LEWISTON,PLETCHER ROAD FOURMILE CREEK,40 - Town,1965,09/19/2016,N,6.00
gara,Lewiston (Town),.4 MI W JCT 957A & I190,RAMP 190I TO 957A RELIEF,2J - Niagara Frontier State,1962,11/29/2016,N,6.40
gara,Lewiston (Town),AT JCT 957A ACCESS & 190I,RAMP TO & FR.190I 957A 957A54014015,2P - NYS Power Authority,1963,08/25/2016,FO,6.29
gara,Lewiston (Village),JCT RTS 18 + 104,104 104 54012028 18  18 54011001,NYSDOT,1965,03/30/2016,N,5.31
gara,Lewiston (Village),0.3 MI N JCT RTS 104 & 18,104 104 54012030 957A957A54014032,NYSDOT,1965,09/08/2015,N,5.99
gara,Lewiston (Village),.3 MI N JCT SH104 & SH18F,957A 957A54014036 MOHAWK STREET,2J - Niagara Frontier State,1965,06/20/2017,N,5.79
gara,Lockport (City),JCT RTE 93 & CANAL,93  93 54014009 ERIE CANAL,NYSDOT,1991,04/26/2017,N,6.59
gara,Lockport (City),JCT RTS 31 & 78 & CANAL,3131 54013014 ERIE CANAL,NYSDOT,1955,09/21/2016,N,5.63
gara,Lockport (City),IN LOCKPORT,EXCHANGE STREET ERIE CANAL,NYSDOT,1915,09/15/2017,FO,6.25
gara,Lockport (City),AT JCT RTS 78 + 31,MAIN STREET ERIE CANAL,NYSDOT,1912,09/27/2016,SD,5.51
gara,Lockport (City),IN LOCKPORT ON ERIE CANAL,MATT MURPHY WAY ERIE CANAL,42 - City,1993,09/22/2017,N,5.97
gara,Lockport (City),AT LOCKPORT ON CANAL,NORTH ADAM STREET ERIE CANAL,NYSDOT,1918,09/16/2016,SD,2.65
gara,Lockport (City),1.7 MI NW JCT SH31 & SH78,OLD NIAGARA ROAD SOMERSET RR,30 - County,1983,10/10/2016,N,6.40
gara,Lockport (City),.3 MI NE JCT SH 78 & SH31,PINE STREET ERIE CANAL,NYSDOT,1901,10/27/2016,N,5.42
gara,Lockport (City),AT LOCKPORT ON ERIE CANAL,STEVENS STREET ERIE CANAL,42 - City,2005,11/06/2015,N,6.38
gara,Lockport (Town),0.5 MI N JCT RTS 78 + 263,78  78 54031003 MUD CREEK,NYSDOT,1969,07/11/2017,N,4.81
gara,Lockport (Town),.9 MI S JCT SH 78 & SH104,78  78 54033012 EB EIGHTEENMLE CK,NYSDOT,1989,08/07/2017,N,6.20
gara,Lockport (Town),0.9 MI W JCT RTS 104 & 78,104 104 54012209 E BR 18 MILE CRK,NYSDOT,1995,11/23/2015,N,6.57
gara,Lockport (Town),2.5 MI SOUTH OF LOCKPORT,93  93 54015020 Donner Crk,NYSDOT,1958,08/02/2016,N,6.46
gara,Lockport (Town),0.9 MI NE OF MILLERSPORT,BARTZ ROAD BR  MUD CREEK,40 - Town,1960,11/02/2015,FO,6.08
gara,Lockport (Town),1.8 MI EAST OF LOCKPORT,CANAL ROAD ERIE CANAL,NYSDOT,1910,09/14/2016,FO,5.84
gara,Lockport (Town),AT ECL LOCKPORT ON CANAL,COLD SPRING ROAD ERIE CANAL,40 - Town,1999,07/25/2017,N,5.98
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
gara,Lockport (Town),2.1 MILES NE OF LOCKPORT,COLD SPRINGS ROAD FALLS ROAD RR,40 - Town,1986,09/23/2016,FO,5.73
gara,Lockport (Town),1 MILE EAST OF LOCKPORT,DAY ROAD ERIE CANAL,40 - Town,1909,09/15/2016,FO,5.90
gara,Lockport (Town),2.2 MI S JCT SH93 & SH104,LOWER MOUNTAIN RD 93  93 54011180,NYSDOT,1990,11/30/2015,N,6.10
gara,Lockport (Town),2.1 MI NW OF MILLERSPORT,MINNICK ROAD MUD CREEK,30 - County,1986,06/14/2016,SD,6.53
gara,Lockport (Town),1.1 M NE OF MILLERSPORT,OLD BEATTIE ROAD BR MUD CREEK,40 - Town,1997,06/09/2016,N,6.00
gara,Lockport (Town),1.6 MI NW JCT SH78 &CANAL,PLANK ROAD EIGHTEEN MILE CRK,30 - County,1988,08/26/2016,N,6.74
gara,Lockport (Town),.7 MILE NW OF RAPIDS,RAPIDS ROAD MUD CREEK,30 - County,1966,06/15/2016,N,5.55
gara,Lockport (Town),2.7 MI SW JCT SH78 & CANL,ROBINSON ROAD ERIE CANAL,30 - County,1965,09/12/2017,SD,5.38
gara,Lockport (Town),1.2 MI S OF LOCKPORT,SNYDER DRIVE DONNER CREEK,40 - Town,1986,07/12/2016,N,5.13
gara,Lockport (Town),5 mi NW of Lockport,STONE ROAD EIGHTEEN MILE CRK,30 - County,2007,06/09/2016,N,6.91
gara,Lockport (Town),.9 MI SE OF WRIGHTS CRNRS,WICKS ROAD E B 18 MILE CREEK,30 - County,1993,06/09/2016,N,6.31
gara,Lockport (Town),.8 MILE NORTH OF RAPIDS,WISTERMAN ROAD MUD CREEK,30 - County,1950,07/05/2017,FO,5.40
gara,Middleport (Village),0.1 MI E JCT RTS 31 & 31E,31  31 54014098 JEDDO CREEK FEEDR,NYSDOT,2000,08/31/2016,N,5.80
gara,Middleport (Village),0.1 MI N JCT RTS 31 & 31E,271  31E54011000 JEDDO CRK FEEDER,NYSDOT,1990,08/17/2017,N,6.36
gara,Middleport (Village),0.5 MI N JCT RTS 271 + 31,271 271 54011005 ERIE CANAL,NYSDOT,1915,09/01/2016,FO,5.18
gara,Middleport (Village),AT MIDDLEPORT,FRANCIS STREET JEDDO CREEK,41 - Village,1985,08/01/2016,N,6.30
gara,Middleport (Village),MIDDLEPORT WEST,SHERMAN STREET JEDDO CREEK,40 - Town,1992,04/25/2017,N,6.77
gara,Newfane (Town),1.7 MI W JCT RTS  18 + 78,18  18 54011222 HOPKINS CREEK,NYSDOT,1967,11/05/2015,N,5.29
gara,Newfane (Town),JCT SH 18 & SH 78,18  18 54011237 EIGHTEEN MILE CRK,NYSDOT,1971,07/13/2017,FO,5.93
gara,Newfane (Town),2 MI W JCT SH 104 & SH 78,104 104 54012199 EIGHTEENMILE CRK,NYSDOT,1929,12/02/2016,FO,6.50
gara,Newfane (Town),2.3 MI SW OF NEWFANE,COOMER ROAD HOPKINS CK TRIB,40 - Town,1947,06/22/2016,N,6.00
gara,Newfane (Town),2.8 MI SW OF NEWFANE,COOMER ROAD HOPKINS CREEK,40 - Town,1947,06/22/2016,N,5.74
gara,Newfane (Town),1.3 MI E OF WRIGHTS CORS,DAY ROAD EIGHTEEN MILE CRK,30 - County,1975,09/08/2016,N,6.00
gara,Newfane (Town),2.4 MI E OF WARRENS CORS,EWINGS ROAD EIGHTEEN MILE CRK,30 - County,2012,04/25/2017,N,6.62
gara,Newfane (Town),.6 MILE SOUTH OF NEWFANE,EWINGS ROAD EIGHTEEN MILE CRK,30 - County,1949,06/09/2016,FO,5.56
gara,Newfane (Town),.6 MILE WEST OF NEWFANE,IDE ROAD EIGHTEEN MILE CRK,30 - County,1976,08/18/2016,N,5.84
gara,Newfane (Town),2.3 MILES S OF NEWFANE,JACQUES ROAD EIGHTEEN MILE CRK,30 - County,1957,09/20/2016,N,5.97
gara,Newfane (Town),1.8 MI S JCT SH18 & SH78,WILSON-BURT ROAD EIGHTEEN MILE CRK,30 - County,1939,12/08/2015,N,5.73
gara,Newfane (Town),2.2 MILES SW OF OLCOTT,WILSON-BURT ROAD HOPKINS CREEK,30 - County,1961,07/26/2016,SD,5.96
gara,Niagara Falls (City),2.3 MI N JCT SH61 & SH384,61  61X54011021 CSXT/ATK,NYSDOT,1964,08/26/2016,N,6.42
gara,Niagara Falls (City),0.9 MI N JCT RTS 61 + 384,61 X GILL CREEK,NYSDOT,1950,05/06/2016,N,6.33
gara,Niagara Falls (City),0.3 MI E JCT RTS 62 + 265,62  62 54044009 CAYUGA CREEK,NYSDOT,1993,05/23/2017,N,6.64
gara,Niagara Falls (City),0.1 MI W JCT RTS 62 + 61,62  62 54044108 GILL CREEK,NYSDOT,1959,09/01/2017,FO,6.07
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
gara,Niagara Falls (City),.6 MI W JCT US 62 & I190,62  62X54044029 CSXT,NYSDOT,1964,08/14/2017,N,6.39
gara,Niagara Falls (City),0.4 MI E JCT RTS 182 & 61,182 W BR GILL CREEK,42 - City,1995,05/09/2017,N,6.49
gara,Niagara Falls (City),0.5 MI W JCT RTS 182+I190,182 X CSXT,42 - City,1962,09/09/2016,N,5.99
gara,Niagara Falls (City),JCT RTS 384 + I-190,190I190I54011000 384 X,NYSDOT,2014,11/10/2016,FO,6.77
gara,Niagara Falls (City),JCT RTS 384 + I-190,190I190I54011000 384 X,NYSDOT,2014,11/10/2016,FO,6.69
gara,Niagara Falls (City),0.4 MI S JCT RT 190I& 384,190I190I54011006 GIRARD AVENUE,NYSDOT,1964,06/23/2016,FO,6.64
gara,Niagara Falls (City),0.4 MI S JCT RT 190I& 384,190I190I54011006 GIRARD AVENUE,NYSDOT,1964,06/27/2016,FO,6.36
gara,Niagara Falls (City),JCT RTS 62 + I 190,190I190I54011010 62  62 54044024,NYSDOT,1964,11/07/2016,FO,6.16
gara,Niagara Falls (City),JCT RTS 62 + I 190,190I190I54011010 62  62 54044024,NYSDOT,1964,11/07/2016,FO,5.84
gara,Niagara Falls (City),0.9 MI N JCT RT 190I& 182,190I190I54011034 CSXT/ATK,NYSDOT,2012,08/26/2016,N,7.00
gara,Niagara Falls (City),0.9 MI N JCT RT 190I& 182,190I190I54011034 CSXT/ATK,NYSDOT,2012,08/26/2016,N,6.82
gara,Niagara Falls (City),1.0 MI N JCT RT 190I& 182,190I190I54011036 LOCKPORT ROAD,NYSDOT,2012,11/21/2016,N,7.00
gara,Niagara Falls (City),1.0 MI N JCT RT 190I& 182,190I190I54011036 LOCKPORT ROAD,NYSDOT,2012,11/22/2016,FO,7.00
gara,Niagara Falls (City),INT EXIT 21 ON 190I,190IX NB RAMP 957A/R MOSES PKWY,2L - NYS Thruway Authority,1961,11/17/2015,FO,6.00
gara,Niagara Falls (City),0.8 MI S JCT RTS 265 + 62,265 X CAYUGA CREEK,42 - City,1949,09/20/2016,FO,6.60
gara,Niagara Falls (City),0.4 MI W JCT RTS 384&61,384 384 54023043 GILL CREEK,42 - City,1993,06/05/2017,N,6.76
gara,Niagara Falls (City),1.5 MI E JCT RTS 384&190I,384 X CAYUGA CREEK,42 - City,1977,09/20/2016,FO,5.57
gara,Niagara Falls (City),JCT US 62A & SH 61,62  62 54044040 GILL CREEK,42 - City,1979,10/06/2016,FO,6.50
gara,Niagara Falls (City),NIAGARA FALLS EAST,91ST STREET BERGHOLTZ CREEK,42 - City,1954,10/03/2016,N,6.40
gara,Niagara Falls (City),0.2 MI E JCT RT 384& 190I,951A 951A54011000 384  X,2J - Niagara Frontier State,1970,05/09/2016,N,6.33
gara,Niagara Falls (City),0.1 MI E JCT RT 951A&190I,951A 951A54011008 77TH STREET,NYSDOT,1970,05/10/2016,N,6.02
gara,Niagara Falls (City),1.5 MI E JCT RT 951A&190I,951A951A 54011015 87TH STREET,NYSDOT,1970,05/11/2017,N,6.07
gara,Niagara Falls (City),0.1 MI E JCT RT 951A&190I,951A951A54011006 72ND STREET,NYSDOT,1970,05/09/2016,N,5.87
gara,Niagara Falls (City),1.5 MI E JCT RT 951A&190I,951A951A54011015 87TH STREET,NYSDOT,1970,05/11/2017,N,6.41
gara,Niagara Falls (City),1.5 MI E JCT RT 951A&190I,951A951A54011015 87TH STREET,NYSDOT,1970,04/17/2017,SD,6.15
gara,Niagara Falls (City),1.6 MI E JCT RT 951A&190I,951A951A54011016 CAYUGA DRIVE,NYSDOT,1970,07/23/2016,N,6.31
gara,Niagara Falls (City),1.8 MI E JCT RT 951A&190I,951A951A54011018 265XX,NYSDOT,1970,05/09/2016,N,6.03
gara,Niagara Falls (City),0.2 MI E JCT 951A & 190I,951A951A54011102 RMSP RAMP W W BND,NYSDOT,1991,04/26/2016,FO,6.12
gara,Niagara Falls (City),0.2 MI E JCT 951A & 190I,951A951A54011102 RMSP RAMP W W.BND,NYSDOT,1991,04/26/2016,FO,6.09
gara,Niagara Falls (City),2.5 MI E JCT RT 951A&190I,951A951A54012000 102ND STREET,NYSDOT,1970,05/06/2016,N,6.47
gara,Niagara Falls (City),0.7 MI W JCT RT 957A&190I,957A 957A54011007 DOCK ACCESS ROAD,2P - NYS Power Authority,1962,06/15/2016,FO,6.37
gara,Niagara Falls (City),0.9 MI W JCT RT 957A&190I,957A 957A54011015 STOP LOG STRUCT.,2P - NYS Power Authority,1962,08/04/2016,FO,6.32
